Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Restaurant Server,Eldorado Hotel &amp; Spa,,"Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj05MmUxZjY0NTM5NDUtMzA2MzItMzg5MzM2MDgmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiI1MjlkODViMi02YzNmLTQ0NmItYTcyZi00ODBjYjJlYTFiOWUiLCJqb2JUaXRsZSI6IlJlc3RhdXJhbnQgU2VydmVyIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Beverage Artisan,Inn &amp; Spa at Loretto,,"Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj1lZjY5Y2Y5ZjExYTEtMzA2MzItMzQxNTIyMzQmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiIxNWZiN2ZhYi1jZmE4LTQyMjQtYTlkOC01ZjgzOWY1ODEyMjkiLCJqb2JUaXRsZSI6IkJldmVyYWdlIEFydGlzYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Database Administrator - NOT A REMOTE POSITION,ATA Services Inc,,"Remote or Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj02ZTM1MDY3YzdkNWYtMzA2MzItMzg5OTY3MjAmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiJiMTY2ZjVhMy04MjQ3LTQ1ZjgtYWFiNy01MTZhM2E4MTg2YzMiLCJqb2JUaXRsZSI6IkRhdGFiYXNlIEFkbWluaXN0cmF0b3IgLSBOT1QgQSBSRU1PVEUgUE9TSVRJT04iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Audio/Visual (AV) Installation Technician,Inter Technologies Corporation,,"Buffalo, New York",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj1mNGE4NjExZTMxNmMtMzA2MzItMzc5NDU5NzEmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiJkNzU1ZmY1Ni1lYjI3LTQzNzUtYWExNC1lODI0NzZlOTZjZjYiLCJqb2JUaXRsZSI6IkF1ZGlvL1Zpc3VhbCAoQVYpIEluc3RhbGxhdGlvbiBUZWNobmljaWFuIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Hospital EMR Coordinator,DCI Donor Services,,"Nashville, Tennessee",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj05NTBhNjU2ZjVhMDEtMzA2MzItMzc5MTkwODkmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiI5ZmMyMDQwYy1kODk1LTRkYzYtYTEwYS04MjU2NjRmZjc1MjciLCJqb2JUaXRsZSI6Ikhvc3BpdGFsIEVNUiBDb29yZGluYXRvciIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Travel AV Technician,Inter Technologies Corporation,,"Raleigh, North Carolina",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj1iMDExZmIyOWQ0MDMtMzA2MzItMzgwOTAxNjkmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiIzNTI2NzZjMy05OTljLTRkNmEtOGQwYS02N2FiNWE4NjhiZDUiLCJqb2JUaXRsZSI6IlRyYXZlbCBBViBUZWNobmljaWFuIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
Lead Audio Visual Technician,Inter Technologies Corporation,,"Buffalo, New York",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj0xZjkyZjVjMzRkYWUtMzA2MzItMzgzMzI2MzgmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiIzOGFhMWUxOS01ZTc3LTRmYjMtYmIyNi02NWI2MDc2YmIzMmQiLCJqb2JUaXRsZSI6IkxlYWQgQXVkaW8gVmlzdWFsIFRlY2huaWNpYW4iLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Mechanical Assembly Technician,CIRCUIT CHECK INC,,"Maple Grove, Minnesota",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj0zNmJiZjc0MTU5NWUtMzA2MzItMzg0ODMxOTYmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiJlZjNmZDVhYS1hMGM3LTQwNjItODM2YS01MTAyOWE3Y2NkNWEiLCJqb2JUaXRsZSI6Ik1lY2hhbmljYWwgQXNzZW1ibHkgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Hazardous Materials Technician,Clean Harbors,,"Orange, Texas",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODYyMzEwMjc2MCZmPTFiNWNiYjRkMTUmaj0xNTE1MV8xNTQyMzMmanBpZD01MzkzNTk3NjgxIiwiam9iSWQiOiI0MzY5YzkyOS04Y2YxLTRkOWYtODk1My1mMTg5YmI1MzgyODAiLCJqb2JUaXRsZSI6IkhhemFyZG91cyBNYXRlcmlhbHMgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
Hazardous Materials Technician,Clean Harbors,,"Freeport, Texas",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODYyMzEwMjc2MCZmPTY0YTJmZDdhYjgmaj0xNTE1MV8xNTQyMTkmanBpZD01MzkzNTk3NjgxIiwiam9iSWQiOiI0NTUyNmJmZS1iYTdmLTQ2Y2ItOTI3Zi1hYTUzNWQzZDNhYTUiLCJqb2JUaXRsZSI6IkhhemFyZG91cyBNYXRlcmlhbHMgVGVjaG5pY2lhbiIsImpvYlR5cGUiOiJwcm9ncmFtbWF0aWMifQ==
