Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
SAP FICO Consultant (Spanish Speaking) associate should be fluent in Spanish and willing to travel to Mexico once a month.,ConfigUSA,Sunil Babu,"Fairfield, NJ",Contract - W2,Contract - Independent,,,,,Contract - 06 Month(s),,$50 - $60,On Site,"Location: Fairfield, NJ, 07004 (HYBRID - MUST HAVE A VALID PASSPORT AND BE ABLE TO TRAVEL TO MEXICO ONCE PER MONTH)
Duration: 6 months
REQUIRED: SAP FICO Consultant (Spanish Speaking) associate should be fluent in Spanish and willing to travel to Mexico once a month.
REQUIRED ON COVERSHEET:
Ability to speak fluently in Spanish | Automatic rejection is this is not clearly confirmed on the resume Ability to travel to Mexico once a month | Automatic rejection is this is not clearly confirmed on the resume
Job Title: SAP FICO Consultant (Spanish Speaking)",https://www.dice.com/job-detail/108d62b5-14d7-4915-a84c-5508a9f82ded
EPIC Integration Analyst,"Paladin Consulting, Inc.",Sanjay Khatri,Remote,Full Time,,,,,,,,$80 - $90,Remote,"Job Title: EPIC Interface Analyst
Work Location: Remote with Travel, Candidates must reside in in Texas, Louisiana, Arkansas, Georgia or New Mexico
Duration: 3 month contract
Education Required: Bachelors Degree
Job Description & Responsibilities :
The Integration Analyst II supports the business goals and objectives for the Technical Integration Team, the Information Services Organization, and the organization as a whole.
Responsible for taking customer requirements and converting them into messaging specifications for application integration. .
Works with groups of individuals in the analysis, design, development, and delivery of technical Integration Solutions.",https://www.dice.com/job-detail/0488aa58-6be9-43f6-a68d-e9bdb33525cf
Production Operator,Charles E Gillman Company,,"Rio Rico, Arizona",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj03NDJmMDIyZWJmYTUtMzA2MzItMzkxNzQzNzMmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiI5OTBmMGVjOC1jYjFkLTRmMDMtYTZhYS0yYjJkYzg3MTdlYmYiLCJqb2JUaXRsZSI6IlByb2R1Y3Rpb24gT3BlcmF0b3IiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Full Stack Developer (Angular),Apex Systems,,"Englewood, CO",Full Time,,,,,,,,,On Site,"Job#: 3012102

Job Description:

Follows company software development lifecycle to design, code, configure, test, debug, and document system and application programs. Assists in preparing technical design specifications based on functional requirements and analysis documents. Reviews functional requirements, analysis and design documents and provides feedback. Collaborates with other development staff to achieve quality and consistency. Participates in architecture, design and code reviews. Develops and maintains operational and system level documentation. 10 + years of experience.

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/722bc18a-9f45-4e7b-8b14-89f61bdac18f
Axiom Developer,Fixity Technologies,,"Buffalo, NY",Full Time,,,,,,,,,On Site,"Job Type: Axiom Developer



Location: Buffalo, NY
Position Overview



We are seeking experienced Axiom Developers to join one of our exciting projects in Buffalo, NY. The ideal candidate will have hands-on expertise with the AxiomSL platform, strong knowledge of regulatory reporting frameworks, and advanced SQL development skills. This is a full-time, onsite role offering the opportunity to work on mission-critical financial reporting solutions.",https://www.dice.com/job-detail/1d0c3eb9-7c4e-4a0f-8653-60f215e1c7dc
Sr Structural Engineer,Apex Systems,,"Birmingham, AL",Full Time,,,,,,,,,On Site,"Job#: 3013757

Job Description:

We're looking for an experienced Senior Structural Engineer to join our team supporting heavy industrial and power plant projects.

Requirements
Experience: 10+ years in heavy industrial/power plant projects OR accredited bachelor's & master's degree in engineering plus a Professional Engineering (PE) license
License: Professional Engineering license required

Key Responsibilities




Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/e2edfea5-c6d5-40ce-8f66-e0fee097557a
Infor CloudSuite FSM Administrator,Apex Systems,,"Philadelphia, PA",Full Time,,,,,,,,,On Site,"Job#: 3013565

Job Description:

Infor CloudSuite Administrator

Duration: 6 month contract to hire

Location: Remote, with the ability to come onsite for team days, generally 1x/quarter (Philadelphia, PA)

Candidates must be able to work without sponsorship both now and in the future.

There are no C2C or 1099 options for this role.

Our higher education client is looking for an Infor CloudSuite FSM Administrator to lead administration efforts, improve processes, and guide and mentor less skilled members of the team.







Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/556e068b-1f85-4477-af8a-e69e378bd888
"Technical / Field Service Technician - (MT, WY, ID, UT, CO, NM Territory)",Metalcraft of Mayville,,"Brandon, Mississippi",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODk0NzEwNTk4NCZmPWFlOTQ2YjlhMjkmaj01Y2M4NmJiMjNlMzktMzA2MzItMzgzNDc2OTkmanBpZD00NzU5MDM4NjkyIiwiam9iSWQiOiI2YTlkNzZlOS04MWExLTRkOTctOGU3ZC03ODdjOWM2ZWJjMWEiLCJqb2JUaXRsZSI6IlRlY2huaWNhbCAvIEZpZWxkIFNlcnZpY2UgVGVjaG5pY2lhbiAtIChNVCwgV1ksIElELCBVVCwgQ08sIE5NIFRlcnJpdG9yeSkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
Scrum Master,Apex Systems,,"Cleveland, OH",Full Time,,,,,,,,,On Site,"Job#: 3013642

Job Description:

Role Overview:

The Senior Scrum Master will serve as a servant leader and coach for multiple Agile teams delivering AI-based products. This role focuses on enabling high-performing teams, removing impediments, and fostering a culture of continuous improvement.

Key Responsibilities:
Agile Facilitation: Lead and facilitate all Scrum ceremonies (Sprint Planning, Daily Stand-ups, Reviews, Retrospectives).





Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/3b3cd8f0-7cef-48e2-bfeb-371a4abf2502
Travel Cath Lab Tech,Fusion Medical Staffing,,"Santa Fe, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9hcHBsamFjay5jb20vYWRtaW4vYXBwbHBhc3MucGhwP2M9ODYyMzEwMjc2MCZmPTFiNWNiYjRkMTUmaj0yNDQzNF8yZGMxYTUyZS0yYmJmLWYwMTEtODE5NC02MDQ1YmQzMjQ1MGYmanBpZD01MzkzNTk3NjgxIiwiam9iSWQiOiJkYTM3NjU2Zi04YWM1LTRhYmQtOTA1MC1jODJkNmEwYTkxNzYiLCJqb2JUaXRsZSI6IlRyYXZlbCBDYXRoIExhYiBUZWNoIiwiam9iVHlwZSI6InByb2dyYW1tYXRpYyJ9
